microA,microB,glucose_mM,ratio_microA,max_lps_mM,t_max_h,t_95_h,json_file
staphylococcus,bordetella,20.0,0.5,19.03935929662869,0.6000000000000001,0.6000000000000001,staphylococcus_bordetella_glc20_ratio0.5.json
staphylococcus,bordetella,20.0,1.0,20.47711317354885,0.5,0.5,staphylococcus_bordetella_glc20_ratio1.0.json
staphylococcus,bordetella,20.0,10.0,21.35294117647059,0.0,0.0,staphylococcus_bordetella_glc20_ratio10.0.json
staphylococcus,bordetella,20.0,2.0,21.98015780210807,0.30000000000000004,0.30000000000000004,staphylococcus_bordetella_glc20_ratio2.0.json
staphylococcus,bordetella,20.0,5.0,22.854989885913103,0.1,0.1,staphylococcus_bordetella_glc20_ratio5.0.json
staphylococcus,bordetella,50.0,0.1,40.740129395634305,2.1,2.0,staphylococcus_bordetella_glc50_ratio0.1.json
staphylococcus,bordetella,50.0,0.2,41.54173397675091,1.9000000000000001,1.8,staphylococcus_bordetella_glc50_ratio0.2.json
staphylococcus,bordetella,50.0,0.5,42.76667427203415,1.5,1.4000000000000001,staphylococcus_bordetella_glc50_ratio0.5.json
staphylococcus,bordetella,50.0,1.0,45.53115367391459,1.2000000000000002,1.1,staphylococcus_bordetella_glc50_ratio1.0.json
staphylococcus,bordetella,50.0,10.0,62.882784482235216,0.2,0.2,staphylococcus_bordetella_glc50_ratio10.0.json
staphylococcus,bordetella,50.0,2.0,48.94326744415795,0.8,0.8,staphylococcus_bordetella_glc50_ratio2.0.json
staphylococcus,bordetella,50.0,5.0,55.47670064946407,0.4,0.4,staphylococcus_bordetella_glc50_ratio5.0.json
